Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: word-a,Spreadsheet: word-b,Spreadsheet: word-answer,Spreadsheet: meaning-prompt,Spreadsheet: meaning-a,Spreadsheet: meaning-b,Response,Correct,Reaction Time
18.0,13328943.0,condition-2,24.0,v4,visual,v4kk-barabara.mp4,v4hh-bissiri.mp4,v4hh-bissiri.mp4,"closely lined up, densely","closely lined up, densely","scattered, in pieces",v4hh-bissiri.mp4,1,18812.20000000007
18.0,13328943.0,condition-2,25.0,i6,interoceptive,i6kk-girigiri.mp4,i6hh-noNbiri.mp4,i6hh-noNbiri.mp4,"at leisure, in a relaxed manner","at leisure, in a relaxed manner","just barely, at the last moment",i6kk-girigiri.mp4,0,32141.499999999767
18.0,13328943.0,condition-2,26.0,a2,auditory,a2hh-zyaazyaa.mp4,a2kk-potapota.mp4,a2hh-zyaazyaa.mp4,noisily gushing,"dripping, trickling",noisily gushing,a2hh-zyaazyaa.mp4,1,38889.80000000005
18.0,13328943.0,condition-2,27.0,a9,auditory,a9hh-mogomogo.mp4,a9kk-sakutto.mp4,a9kk-sakutto.mp4,with a crunch,with a crunch,"mumbling, chewing",a9kk-sakutto.mp4,1,29445.899999999907
18.0,13328943.0,condition-2,28.0,v6,visual,v6hh-huNwari.mp4,v6kk-gotugotu.mp4,v6hh-huNwari.mp4,"gently, airily, fluffy","gently, airily, fluffy","rugged, scragged, angular",v6hh-huNwari.mp4,1,42974.09999999986
18.0,13328943.0,condition-2,29.0,a3,auditory,a3kk-syakisyaki.mp4,a3hh-ziriziri.mp4,a3kk-syakisyaki.mp4,"crisp, crunchy","crisp, crunchy","sizzling, oozing",a3kk-syakisyaki.mp4,1,82600.19999999995
18.0,13328943.0,condition-2,30.0,i1,interoceptive,i1hh-geNnari.mp4,i1kk-gatugatu.mp4,i1kk-gatugatu.mp4,"ravenously, greedily","weary, fed up, dejected","ravenously, greedily",i1kk-gatugatu.mp4,1,46095.5
18.0,13344171.0,condition-3,1.0,i6,interoceptive,i6kh-girigiri.mp4,i6hk-noNbiri.mp4,i6hk-noNbiri.mp4,"at leisure, in a relaxed manner","just barely, at the last moment","at leisure, in a relaxed manner",i6hk-noNbiri.mp4,1,24709.499999988067
18.0,13344171.0,condition-3,2.0,a1,auditory,a1kh-batyabatya.mp4,a1hk-sitosito.mp4,a1kh-batyabatya.mp4,splashing,drizzling,splashing,a1kh-batyabatya.mp4,1,14400.999999988067
18.0,13344171.0,condition-3,3.0,i4,interoceptive,i4kh-dogimagi.mp4,i4hk-tyaNto.mp4,i4hk-tyaNto.mp4,"attentive, proper attitude","flurried, nervous","attentive, proper attitude",i4hk-tyaNto.mp4,1,10469.700000011915
18.0,13344171.0,condition-3,4.0,a0,auditory,a0hk-gosogoso.mp4,a0kh-katakata.mp4,a0hk-gosogoso.mp4,with a rustling sound,"clattering, rattling",with a rustling sound,a0hk-gosogoso.mp4,1,29206.700000023848
18.0,13344171.0,condition-3,5.0,v3,visual,v3kh-hirahira.mp4,v3hk-pitari.mp4,v3kh-hirahira.mp4,"fluttering, dangling","tightly connected, no space in between","fluttering, dangling",v3hk-pitari.mp4,0,9841.000000023836
