Experiment Version,Participant Private ID,Current Spreadsheet,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: rated-word,Spreadsheet: rated-meaning,rating,Reaction Time
18.0,13370221.0,condition-2,13.0,a5,auditory,a5kk-dotabata.mp4,"noisily, with heavy feet",4,11562.600000000006
18.0,13370221.0,condition-2,14.0,v4,visual,v4hh-bissiri.mp4,"closely lined up, densely",4,7271.899999952322
18.0,13370221.0,condition-2,15.0,i8,interoceptive,i8hh-hotto.mp4,with a feeling of relief,6,5211.099999964237
18.0,13370221.0,condition-2,16.0,a9,auditory,a9kk-sakutto.mp4,with a crunch,4,4882.000000000029
18.0,13370221.0,condition-2,17.0,a1,auditory,a1kk-batyabatya.mp4,splashing,5,4913.599999952305
18.0,13370221.0,condition-2,18.0,a6,auditory,a6hh-dosari.mp4,with a thud,5,4864.100000000006
18.0,13370221.0,condition-2,19.0,i7,interoceptive,i7kk-zokuzoku.mp4,"shivering, feeling chilly",5,4693.599999952305
18.0,13370221.0,condition-2,20.0,i6,interoceptive,i6hh-noNbiri.mp4,"at leisure, in a relaxed manner",3,4617.699999964243
18.0,13370221.0,condition-2,21.0,v8,visual,v8hh-marumaru.mp4,"plump, rotund, chubby",2,4948.200000000041
18.0,13370221.0,condition-2,22.0,a4,auditory,a4hh-zuruzuru.mp4,with a slurp,2,5418.799999999988
18.0,13370221.0,condition-2,23.0,a2,auditory,a2hh-zyaazyaa.mp4,noisily gushing,4,4719.200000000012
18.0,13370221.0,condition-2,24.0,i4,interoceptive,i4hh-tyaNto.mp4,"attentive, proper attitude",7,5073.299999952316
18.0,13370221.0,condition-2,25.0,v6,visual,v6hh-huNwari.mp4,"gently, airily, fluffy",4,4718.099999952305
18.0,13370221.0,condition-2,26.0,a0,auditory,a0hh-gosogoso.mp4,with a rustling sound,1,5964.400000000023
18.0,13370221.0,condition-2,27.0,i5,interoceptive,i5kk-harahara.mp4,"anxious, nervous",4,4969.299999999988
18.0,13370221.0,condition-2,28.0,v5,visual,v5kk-nikoniko.mp4,"smilingly, with a grin",4,5002.699999988079
18.0,13370221.0,condition-2,29.0,v2,visual,v2hh-doNyori.mp4,"dark, gloomy",6,5687.799999976181
18.0,13370221.0,condition-2,30.0,a7,auditory,a7kk-gisigisi.mp4,"with a creak, squeak",3,4844.699999988079
18.0,13381142.0,condition-1,1.0,i3,interoceptive,i3kd-iraira.mp4,"to get irritated, annoyed",6,5088.0
18.0,13381142.0,condition-1,2.0,i6,interoceptive,i6hu-noNbiri.mp4,"at leisure, in a relaxed manner",7,5672.0
18.0,13381142.0,condition-1,3.0,i5,interoceptive,i5kd-harahara.mp4,"anxious, nervous",7,4786.0
18.0,13381142.0,condition-1,4.0,a7,auditory,a7kd-gisigisi.mp4,"with a creak, squeak",2,5640.0
18.0,13381142.0,condition-1,5.0,a8,auditory,a8hu-bosori.mp4,"in a whisper, in a murmur",3,6209.0
18.0,13381142.0,condition-1,6.0,i8,interoceptive,i8hu-hotto.mp4,with a feeling of relief,7,4870.0
18.0,13381142.0,condition-1,7.0,a6,auditory,a6hu-dosari.mp4,with a thud,7,5488.0
18.0,13381142.0,condition-1,8.0,v2,visual,v2hu-doNyori.mp4,"dark, gloomy",4,4986.0
18.0,13381142.0,condition-1,9.0,v3,visual,v3kd-hirahira.mp4,"fluttering, dangling",2,6310.0
18.0,13381142.0,condition-1,10.0,v0,visual,v0hu-kukkiri.mp4,"clearly, distinctly, sharply",6,4972.0
18.0,13381142.0,condition-1,11.0,v5,visual,v5kd-nikoniko.mp4,"smilingly, with a grin",5,7832.0
18.0,13381142.0,condition-1,12.0,v9,visual,v9kd-bosabosa.mp4,"ruffled, disheveled",3,9808.0
18.0,13381142.0,condition-1,13.0,a0,auditory,a0hu-gosogoso.mp4,with a rustling sound,5,5774.0
18.0,13381142.0,condition-1,14.0,v7,visual,v7kd-kiritto.mp4,"crisp appearance, stiffly",7,5289.0
18.0,13381142.0,condition-1,15.0,i9,interoceptive,i9kd-dokidoki.mp4,with a rapid heartbeat,7,5924.0
18.0,13381142.0,condition-1,16.0,a3,auditory,a3kd-syakisyaki.mp4,"crisp, crunchy",6,4770.0
18.0,13381142.0,condition-1,17.0,i4,interoceptive,i4hu-tyaNto.mp4,"attentive, proper attitude",2,5337.0
18.0,13381142.0,condition-1,18.0,a5,auditory,a5kd-dotabata.mp4,"noisily, with heavy feet",7,4651.0
18.0,13381142.0,condition-1,19.0,v4,visual,v4hu-bissiri.mp4,"closely lined up, densely",5,5272.0
